Kanji,Frequency倡,55
顎,700
巌,427
翡,142
蕣,12
宗,14021
盬,1
濡,921
畍,3
卮,10
著,12624
孟,988
謐,37
籥,15
止,12701
鷓,22
腑,252
斎,4285
儈,1
詔,531
獪,38
蜍,28
瞞,50
不,33261
睫,109
靉,22
待,7790
鞫,39
澹,89
具,16710
罍,14
潰,951
厮,10
鏤,91
妹,2766
逍,692
枠,1221
輙,11
玄,3022
呼,10937
漠,918
朏,3
哈,85
塙,43
輦,259
權,4
鰔,2
訌,29
嫖,25
疋,231
貉,41
專,8
閣,2727
揄,55
弧,688
蓊,7
越,8393
涎,151
去,6871
鍼,382
吃,202
壑,60
芝,3305
弓,5556
孳,22
隗,40
長,55520
葛,2036
籾,302
蝨,87
臣,8607
雰,578
掌,1605
帯,15981
捌,308
嗔,16
閘,71
裔,265
蠟,79
領,9922
爽,198
噐,3
印,9316
如,5059
攣,412
白,31632
鴎,1176
軸,3687
螢,17
游,196
籵,2
弥,4391
務,16667
脈,5107
瑕,193
努,2027
削,2478
蝪,10
踟,8
辮,31
顳,35
嗜,319
貯,2040
犠,609
喝,389
悽,33
霏,15
陟,44
下,87723
杯,2714
騙,180
蟠,62
鉦,524
菫,195
冴,173
釵,39
鰾,79
椣,2
托,416
渮,2
熱,13710
檍,14
匸,43
崢,8
聹,4
絳,24
鈴,1938
倬,5
簡,3864
扌,1
踊,4119
匿,314
又,1396
鰈,111
儕,73
珥,7
乢,2
索,2054
假,20
烟,336
庸,517
衵,125
嬌,212
属,15126
櫂,270
煉,820
蠶,9
養,8815
聳,115
枕,8978
闇,1701
占,4815
鹹,154
野,29938
莟,19
誘,2922
陳,1321
改,10668
蝎,51
蟹,733
慱,2
胳,2
蔲,2
釿,9
鶀,2
北,26086
鬲,40
戈,257
澄,2044
背,8379
爆,3040
棕,185
盪,105
鱵,5
倭,3012
観,13821
罨,63
杵,871
嚀,15
曹,1031
澳,27
冤,72
嫩,151
凖,5
跣,91
死,18597
弦,3833
薹,79
屯,265
韲,74
觀,4
里,6208
椏,49
遏,40
浹,8
鬧,38
蘚,187
署,1390
磊,68
鐺,97
鄂,18
佰,8
機,35271
粡,5
朮,146
媽,45
愾,27
膽,8
樟,280
荊,210
嗷,25
蠅,539
瑩,51
籠,4576
忻,9
麴,23
粳,135
櫻,9
翟,2
蜆,134
遙,7
誡,193
渝,11
啐,1
袍,581
艟,16
疏,448
鞍,1606
淤,10
嚢,1691
痩,591
叮,17
牋,3
氤,8
瞿,68
雍,148
樞,4
眇,70
家,74411
剞,18
溽,15
謾,4
湛,182
税,8255
鮖,2
仰,3106
赭,179
遲,14
皙,10
預,2682
凩,25
卦,575
俛,17
徊,136
吶,64
膸,4
匪,151
嶺,990
欖,100
鵲,109
習,8649
盛,12507
睾,102
版,6346
嘲,232
鱩,2
笥,438
掠,356
或,807
孜,21
卯,800
弭,217
瓧,2
薬,20784
聨,3
嘴,445
仝,8
擔,7
劫,602
菽,65
豸,55
甌,46
骰,40
屹,102
慷,53
尽,4827
詠,2264
瘰,12
觴,89
仲,6097
蚰,35
蜾,1
茱,124
檝,2
痰,405
梶,453
尤,209
戟,127
彰,277
噂,230
徹,1178
譟,11
麨,2
撚,574
旡,15
佯,46
滂,24
泄,348
喰,501
浩,195
激,6161
菰,207
嚊,112
劔,6
揶,50
享,1324
暮,4589
槻,319
労,10647
鯊,35
和,37514
鴾,27
匐,135
電,29484
腓,109
奪,2233
潺,18
蘗,83
肚,123
貼,1029
環,5427
虹,441
蛔,12
橘,1004
嫋,22
碧,504
樣,7
窩,319
棣,72
賈,160
牴,41
朷,2
響,5026
弴,1
疑,3705
鴈,94
弼,183
耗,406
庶,1082
煦,14
蒿,125
疼,236
鉋,367
謂,307
濳,3
墮,6
參,5
釋,6
週,1573
愆,6
倻,1
湿,2804
葢,3
耨,71
貰,561
臘,242
衆,7943
櫟,74
儷,55
盤,5248
教,36045
沌,89
疉,3
殼,6
弩,146
洵,35
嘯,180
氵,1
笵,30
妲,19
隔,3091
囗,96
歇,39
孰,39
凜,46
樒,40
楊,1083
遅,3224
魯,1116
航,6012
髁,1
讎,10
綾,1157
山,62593
放,13069
尖,827
揖,96
鵬,107
衙,242
却,1777
綣,2
賂,217
鍾,250
働,11251
挑,457
怡,52
怕,5
巉,8
抒,325
鏡,8663
稷,125
泅,3
偲,193
剋,115
段,12241
圏,1339
曝,349
峰,2586
恤,140
線,23227
奕,207
遞,4
党,6845
瘟,24
网,29
鑽,215
勧,1886
咨,25
晷,1
練,5798
瑯,64
盜,4
羅,6226
兮,67
湟,6
肪,1391
獅,951
芦,159
盒,44
